endTime,artistName,trackName,msPlayed
2023-03-10 22:58,Hot Chelle Rae,Don't Say Goodnight,119586
2023-03-11 05:20,Florocka,Twale,256998
2023-03-11 05:27,Banky W.,My Destiny,435472
2023-03-11 05:42,DOE,What I'm Waiting For,170589
2023-03-11 18:14,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",232506
2023-03-11 18:19,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),258431
2023-03-11 18:21,Kanye West,All Of The Lights,121662
2023-03-11 18:26,J. Cole,No Role Modelz,292799
2023-03-11 18:29,Young Thug,The London (feat. J. Cole & Travis Scott),200186
2023-03-11 18:32,Travis Scott,STARGAZING,208737
2023-03-11 18:36,Drake,God's Plan,198973
2023-03-11 18:40,Rihanna,We Found Love,215226
2023-03-11 18:43,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),202626
2023-03-11 18:55,Avicii,Wake Me Up,108158
2023-03-12 04:07,Avicii,Wake Me Up,6425
2023-03-12 06:13,Avicii,Wake Me Up,6466
2023-03-12 07:42,Avicii,Wake Me Up,2025
2023-03-12 08:17,Hillsong Instrumentals,Awake My Soul - Upright Piano,35920
2023-03-12 08:18,Hillsong Instrumentals,Awake My Soul - Upright Piano,942
2023-03-12 08:18,Chillout Avenue,Waiting for You,494
2023-03-12 08:18,Avicii,Wake Me Up,71646
2023-03-12 08:24,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",15892
2023-03-12 08:24,Hillsong Instrumentals,Christ Is Enough,334440
2023-03-12 08:28,Hillsong Instrumentals,Forever Reign - Upright Piano,258490
2023-03-12 08:35,Hillsong Instrumentals,Holy Ground,373748
2023-03-12 08:41,Hillsong Instrumentals,Cornerstone,355333
2023-03-12 08:44,Hillsong Instrumentals,Calvary - Upright Piano,226585
2023-03-12 08:49,Hillsong Instrumentals,Upper Room,249660
2023-03-12 08:54,Hillsong Instrumentals,I Give You My Heart - Upright Piano,294824
2023-03-12 08:59,Hillsong Instrumentals,Open Heaven (River Wild),342053
2023-03-12 09:05,Hillsong Instrumentals,From The Inside Out,342666
2023-03-12 09:09,Hillsong Instrumentals,Thank You Jesus,213493
2023-03-12 09:13,Hillsong Instrumentals,Lead Me To The Cross,285093
2023-03-12 09:19,Hillsong Instrumentals,Whole Heart (Hold Me Now) - Upright Piano,324317
2023-03-12 09:22,Hillsong Instrumentals,Desert Song,195920
2023-03-12 09:26,Hillsong Instrumentals,You'll Come,262386
2023-03-12 09:33,Hillsong Instrumentals,Highlands (Song Of Ascent) - Upright Piano,369795
2023-03-12 09:39,Hillsong Instrumentals,None But Jesus,317026
2023-03-12 09:44,Hillsong Instrumentals,Still - Grand Piano,290757
2023-03-12 09:50,Hillsong Instrumentals,All I Need Is You,364733
2023-03-12 09:53,Hillsong Instrumentals,Jesus Lover Of My Soul - Upright Piano,194148
2023-03-12 09:58,Hillsong Instrumentals,Sinking Deep - Grand Piano,267420
2023-03-12 10:03,Hillsong Instrumentals,Awake My Soul,300187
2023-03-12 10:15,Hillsong Instrumentals,I Surrender,141801
2023-03-12 10:29,Hillsong Instrumentals,I Surrender,54349
2023-03-13 03:59,Hillsong Instrumentals,I Surrender,221889
2023-03-13 04:03,Hillsong Instrumentals,Jesus Lover of My Soul,242013
2023-03-13 04:08,Hillsong Instrumentals,Oceans (Where Feet May Fail) - Upright Piano,318901
2023-03-13 04:11,Hillsong Instrumentals,I Will Praise You,137736
2023-03-13 04:16,Hillsong Worship,I Give You My Heart,321186
2023-03-13 04:20,Michael W. Smith,Draw Me Close - Live,254800
2023-03-13 04:27,Travis Cottrell,What A Beautiful Name / Agnus Dei - Medley,399506
2023-03-13 04:30,Kathryn Scott,I Love You Lord,142400
2023-03-13 04:33,JJ Heller,You Already Know,214360
2023-03-13 04:38,Hillsong Worship,Shout to the Lord,277272
2023-03-13 04:42,Selah,"Wonderful, Merciful Savior",231866
2023-03-13 04:47,Travis Cottrell,The Blood Of Jesus Speaks For Me - Live,298893
2023-03-13 04:51,Urban Rescue,Song Of My Father,247386
2023-03-13 04:54,Maranatha! Vocal Band,Hear My Prayer,152546
2023-03-13 04:57,Kathryn Scott,I Have Decided to Follow Jesus,186946
2023-03-13 05:00,Chris Rice,What a Friend We Have In Jesus,177960
2023-03-13 05:04,Jon Reddick,You Keep Hope Alive,231826
2023-03-13 05:07,Travis Cottrell,Abide With Me,226346
2023-03-13 05:09,Aaron Keyes,Grace Like Rain,91226
2023-03-13 05:11,Audrey Assad,"Oh, the Deep, Deep Love of Jesus (feat. Fernando Ortega)",157337
2023-03-13 05:17,Kathryn Scott,Everlasting God,314853
2023-03-13 05:20,Chris Rice,This Is My Father's World,174946
2023-03-13 05:23,Jadon Lavik,I Need Thee,193106
2023-03-13 05:26,Maranatha! Vocal Band,The Battle Belongs To The Lord,204240
2023-03-13 05:30,I AM THEY,To the One,201613
2023-03-13 05:34,CityAlight,Ancient of Days,286171
2023-03-13 05:37,Sanctus Real,Confidence,181812
2023-03-13 05:41,Chris Rice,Untitled Hymn (Come to Jesus),238600
2023-03-13 05:44,Audrey Assad,Open the Eyes of My Heart,153484
2023-03-13 05:47,Maranatha! Vocal Band,He Knows My Name - World's Greatest Praise & Worship Album Version,204000
2023-03-13 05:52,Hillsong Worship,King Of Kings - Studio,265133
2023-03-13 05:58,The Church Will Sing,Make Room,351349
2023-03-13 06:00,Dave Hunt,The Steadfast Love of the Lord,113386
2023-03-13 06:03,Jadon Lavik,Turn Your Eyes,182106
2023-03-13 06:07,Audrey Assad,How Can I Keep from Singing,261533
2023-03-13 06:11,Keith Green,Create In Me A Clean Heart,260306
2023-03-13 06:15,Sanctus Real,My Hope Is in the Lord,201595
2023-03-13 06:19,CityAlight,Your Will Be Done - (Acoustic Release),256467
2023-03-13 06:24,Keith & Kristyn Getty,The Lord Is My Salvation,321400
2023-03-13 06:27,Jadon Lavik,My Father's World,163880
2023-03-13 06:31,Audrey Assad,I Shall Not Want,222508
2023-03-13 06:34,Keith Green,There Is A Redeemer,190078
2023-03-13 06:38,Starfield,Absolutely,239106
2023-03-13 06:42,Sanctus Real,Jesus Loves You,232960
2023-03-13 06:45,Steven Curtis Chapman,My Redeemer is Faithful and True,200989
2023-03-13 06:51,Jadon Lavik,What A Friend,310506
2023-03-13 06:53,I Love You Lord Performers,As The Deer (Maranatha),147133
2023-03-13 06:55,Lenny LeBlanc,There Is None Like You,132640
2023-03-13 07:00,Maranatha! Vocal Band,No Higher Calling,271693
2023-03-13 07:04,I AM THEY,Found My Freedom (feat. Matthew West),224693
2023-03-13 07:08,Erik Nieder,Faithful,284422
2023-03-13 07:13,Audrey Assad,Immanuel's Land,279426
2023-03-13 07:14,Church of the City,'Tis So Sweet To Trust In Jesus - Live,73407
2023-03-13 07:16,Nicole C. Mullen,Because He Lives,133293
2023-03-13 07:20,Travis Cottrell,Oh My Soul,197373
2023-03-13 07:24,Maranatha! Vocal Band,"I Love You, Lord - World's Greatest Praise & Worship Album Version",250613
2023-03-13 07:28,I AM THEY,Lift My Eyes,222746
2023-03-13 07:29,Dave Bilbrough,As We Seek Your Face,63866
2023-03-13 07:32,Selah,How Deep The Father's Love For Us,204133
2023-03-13 07:35,Jadon Lavik,I Have Decided To Follow Jesus,188291
2023-03-13 07:41,Maranatha! Vocal Band,Create In Me A Clean Heart/I Surrender All,343376
2023-03-13 07:44,I AM THEY,Faithful God,209320
2023-03-13 07:50,Travis Cottrell,In Christ Alone / The Solid Rock,323813
2023-03-13 07:54,Matt Redman,One Day (When We All Get To Heaven) - Radio Version,230026
2023-03-13 07:59,Matt Boswell,Come Behold The Wondrous Mystery,251866
2023-03-13 08:03,Kathryn Scott,When I Survey (The Wondrous Cross) - Live,237680
2023-03-13 08:07,Maranatha! Vocal Band,I See The Lord,232400
2023-03-13 08:12,Travis Cottrell,The Reason,277480
2023-03-13 08:14,I Love You Lord Performers,In Moments Like These,117382
2023-03-13 12:31,Gloria Gaynor,I Will Survive,7862
2023-03-13 12:39,Gloria Gaynor,I Will Survive,94200
2023-03-13 12:44,Lynyrd Skynyrd,Sweet Home Alabama,281400
2023-03-13 12:47,Neil Diamond,Sweet Caroline,203573
2023-03-13 12:47,KC & The Sunshine Band,Give It Up,1750
2023-03-13 12:47,Toploader,Dancing in the Moonlight,26396
2023-03-13 12:51,John Denver,"Take Me Home, Country Roads",197813
2023-03-13 12:51,Bryan Adams,Summer Of '69,1920
2023-03-13 12:51,Bryan Adams,Summer Of '69,1540
2023-03-13 12:51,Bryan Adams,Summer Of '69,810
2023-03-13 12:51,The Beatles,Here Comes The Sun - Remastered 2009,1630
2023-03-13 12:51,Sam Cooke,(What A) Wonderful World - Mono,1290
2023-03-13 12:51,The Supremes,You Can't Hurry Love,2090
2023-03-13 12:51,Ben E. King,Stand By Me,710
2023-03-13 12:51,Chuck Berry,Route 66,0
2023-03-13 12:51,Nitty Gritty Dirt Band,Fishin' in the Dark,370
2023-03-13 12:51,Journey,Don't Stop Believin',1310
2023-03-13 12:51,Journey,Don't Stop Believin',610
2023-03-13 12:51,Queen,Don't Stop Me Now - Remastered 2011,920
2023-03-13 12:51,Aretha Franklin,Respect,1530
2023-03-13 12:51,Elton John,I'm Still Standing,330
2023-03-13 12:51,Elton John,I'm Still Standing,2600
2023-03-13 12:51,Black Eyed Peas,I Gotta Feeling,7666
2023-03-13 12:54,Elton John,I'm Still Standing,183440
2023-03-13 12:55,J. Cole,No Role Modelz,1610
2023-03-13 12:55,Bryan Adams,Summer Of '69,26210
2023-03-13 12:56,Akon,Lonely,3680
2023-03-13 12:59,Akon,Smack That,212360
2023-03-13 13:03,Akon,I Wanna Love You,247066
2023-03-13 13:07,Akon,Right Now (Na Na Na),240746
2023-03-13 13:10,Akon,Locked Up,1940
2023-03-13 13:10,Akon,Chammak Challo,2430
2023-03-13 13:10,Akon,Don't Matter,160576
2023-03-13 13:15,Michael Jackson,Billie Jean,294226
2023-03-13 13:19,Michael Jackson,Beat It,258400
2023-03-13 13:24,Michael Jackson,Chicago,245506
2023-03-13 13:28,Michael Jackson,Smooth Criminal - 2012 Remaster,257760
2023-03-13 13:31,Michael Jackson,Rock with You - Single Version,220626
